3326231	/m/095z4q	The Longest Yard	2005-05-19	190320568	113.0	{"/m/02h40lc": "English Language"}	{"/m/09c7w0": "United States of America"}	{"/m/0hn10": "LGBT", "/m/05c3mp2": "Prison film", "/m/0jdm8": "Remake", "/m/01z02hx": "Sports", "/m/07s9rl0": "Drama", "/m/01z4y": "Comedy", "/m/0vgkd": "Black comedy"}
30950095	/m/0gg98d6	Mazhavilkavadi	1989		130.0	{}	{}	{"/m/02l7c8": "Romance Film", "/m/05p553": "Comedy film"}
3509741	/m/09hfbq	Count Dracula	1970		100.0	{"/m/02h40lc": "English Language"}	{"/m/06mkj": "Spain"}	{"/m/03npn": "Horror"}
1203778	/m/04h14p	Titanic	1953-04-16	2250000	103.0	{"/m/02h40lc": "English Language"}	{"/m/09c7w0": "United States of America"}	{"/m/01g6gs": "Black-and-white", "/m/03btsm8": "Action/Adventure", "/m/07s9rl0": "Drama", "/m/01drsx": "Disaster", "/m/068d7h": "Romantic drama", "/m/02l7c8": "Romance Film", "/m/02kdv5l": "Action"}
4482293	/m/0c4xfr	Night of the Living Bread	1990		8.0	{"/m/02h40lc": "English Language"}	{"/m/09c7w0": "United States of America"}	{"/m/0gf28": "Parody", "/m/02hmvc": "Short Film"}
12696872	/m/02x0w9k	Surrender				{"/m/02h40lc": "English Language"}	{"/m/09c7w0": "United States of America"}	{"/m/07s9rl0": "Drama", "/m/01g6gs": "Black-and-white"}
20434224	/m/04zvj_p	Preetam	1971			{"/m/03k50": "Hindi Language"}	{"/m/03rk0": "India"}	{"/m/02l7c8": "Romance Film", "/m/01chg": "Bollywood"}
15936289	/m/03qhmz2	Barbie and the Diamond Castle	2008-09-09		79.0	{"/m/02h40lc": "English Language"}	{"/m/01ls2": "Colombia", "/m/03rjj": "Italy"}	{"/m/01zhp": "Computer Animation", "/m/0hqxf": "Family Film", "/m/0hcr": "Animation", "/m/0hj3myc": "Children's Fantasy", "/m/0hj3myq": "Children's/Family"}
5334557	/m/0dg3h7	I, Monster	1971		80.0	{"/m/02h40lc": "English Language"}	{"/m/07ssc": "United Kingdom"}	{"/m/06n90": "Science Fiction", "/m/03npn": "Horror", "/m/0hj3m_c": "Costume Horror"}
29199923	/m/0dlmbls	L'Amore Primitivo	1964		83.0	{"/m/02bjrlw": "Italian Language"}	{"/m/03rjj": "Italy"}	{"/m/05p553": "Comedy film"}
14299402	/m/03c_tbh	The Blade Spares None			102.0	{"/m/0653m": "Standard Mandarin"}	{"/m/03h64": "Hong Kong"}	{"/m/02kdv5l": "Action", "/m/01hmnh": "Fantasy", "/m/0gw5qqq": "Chinese Movies"}
19862443	/m/04q77sb	Traitor's Gate	1964-12-18		87.0	{"/m/02h40lc": "English Language"}	{"/m/0345h": "Germany"}	{"/m/0lsxr": "Crime Fiction", "/m/02wtdps": "Crime Thriller", "/m/01jfsb": "Thriller", "/m/07s9rl0": "Drama", "/m/01g6gs": "Black-and-white"}
14299409	/m/03c_tbv	Bashful	1917-12-23			{"/m/06ppq": "Silent film", "/m/02h40lc": "English Language"}	{"/m/09c7w0": "United States of America"}	{"/m/02hmvc": "Short Film", "/m/06ppq": "Silent film", "/m/0219x_": "Indie", "/m/01g6gs": "Black-and-white", "/m/01z4y": "Comedy"}
9396573	/m/02875q0	Zombie Town	2007-03-14		95.0	{"/m/02h40lc": "English Language"}	{"/m/09c7w0": "United States of America"}	{"/m/0jb4p32": "Zombie Film", "/m/03npn": "Horror", "/m/0qdzd": "B-movie", "/m/0hj3m_q": "Creature Film"}
13433670	/m/03c55ph	His Desperate Deed	1915-03-18			{"/m/06ppq": "Silent film", "/m/02h40lc": "English Language"}	{"/m/09c7w0": "United States of America"}	{"/m/02hmvc": "Short Film", "/m/06ppq": "Silent film", "/m/07s9rl0": "Drama", "/m/0219x_": "Indie", "/m/01g6gs": "Black-and-white"}
11339644	/m/02r87dl	Harry Black	1958		107.0	{"/m/02h40lc": "English Language"}	{"/m/09c7w0": "United States of America", "/m/07ssc": "United Kingdom"}	{"/m/02kdv5l": "Action", "/m/07s9rl0": "Drama", "/m/03k9fj": "Adventure"}
20485099	/m/04zxx4q	Universe	1976			{"/m/02h40lc": "English Language"}	{"/m/09c7w0": "United States of America"}	{"/m/02hmvc": "Short Film", "/m/0jtdp": "Documentary"}
21912163	/m/05pc8z0	Divinas palabras			107.0	{"/m/06nm1": "Spanish Language"}	{"/m/06mkj": "Spain"}	{"/m/02p0szs": "Historical fiction", "/m/07s9rl0": "Drama"}
26864304	/m/0bmbjxz	I, Curmudgeon	2004		94.0	{"/m/02h40lc": "English Language"}	{"/m/0d060g": "Canada"}	{"/m/0jtdp": "Documentary"}
31087316	/m/0g4qd42	Punch and Jody	1974-11-06		78.0	{"/m/02h40lc": "English Language"}	{"/m/09c7w0": "United States of America"}	{"/m/07s9rl0": "Drama"}
31859493	/m/0gttkbk	Pretty Cure All Stars DX2: Light of Hope - Protect the Rainbow Jewel!	2010-03-20		72.0	{}	{}	{"/m/05p553": "Comedy film", "/m/02kdv5l": "Action"}
7759122	/m/026c2w0	Vidheyan	1993		112.0	{"/m/0999q": "Malayalam Language", "/m/09bnf": "Kannada Language"}	{"/m/03rk0": "India"}	{"/m/07s9rl0": "Drama"}
